900218342-6;AGENCIA DE SERVICIOS LOGISTICO;8507;4816558
900218342-6;AGENCIA DE SERVICIOS LOGISTICO;8518;4816558
900218342-6;AGENCIA DE SERVICIOS LOGISTICO;8666;4816558
900218342-6;AGENCIA DE SERVICIOS LOGISTICO;8759;1852500
900218342-6;AGENCIA DE SERVICIOS LOGISTICO;8935;4326000
900218342-6;AGENCIA DE SERVICIOS LOGISTICO;8947;747500
890207037-1;AGROPECUARIA ALIAR S.A        ;8931;2415000
890207037-1;AGROPECUARIA ALIAR S.A        ;8939;841500
890304130-4;ALIMENTOS CARNICOS S A S      ;8908;9243000
890103400-5;ALIMENTOS CONCENTRADOS DEL CAR;8852;2320226
900212775-4;ALIMENTOS LA ISABELA S.A.S    ;8842;5024518
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;8975;43483696
890900608-9;ALMACENES EXITO S A           ;8584;883200
890900608-9;ALMACENES EXITO S A           ;8597;7679010
890900608-9;ALMACENES EXITO S A           ;8728;2209150
890900608-9;ALMACENES EXITO S A           ;8756;4427000
890900608-9;ALMACENES EXITO S A           ;8767;5129000
890900608-9;ALMACENES EXITO S A           ;8768;8801500
890900608-9;ALMACENES EXITO S A           ;8774;883200
890900608-9;ALMACENES EXITO S A           ;8785;4427000
890900608-9;ALMACENES EXITO S A           ;8786;7679010
890900608-9;ALMACENES EXITO S A           ;8787;2209150
890900608-9;ALMACENES EXITO S A           ;8788;7679010
890900608-9;ALMACENES EXITO S A           ;8789;2564500
890900608-9;ALMACENES EXITO S A           ;8790;5129000
890900608-9;ALMACENES EXITO S A           ;8791;7339500
890900608-9;ALMACENES EXITO S A           ;8792;2209150
890900608-9;ALMACENES EXITO S A           ;8794;5056100
890900608-9;ALMACENES EXITO S A           ;8910;7679010
890900608-9;ALMACENES EXITO S A           ;8911;7679010
890900608-9;ALMACENES EXITO S A           ;8962;883200
890900608-9;ALMACENES EXITO S A           ;8965;5515000
890900608-9;ALMACENES EXITO S A           ;8966;1334000
890900608-9;ALMACENES EXITO S A           ;8984;2209150
890900608-9;ALMACENES EXITO S A           ;8995;2557600
890900608-9;ALMACENES EXITO S A           ;8996;3925310
890900608-9;ALMACENES EXITO S A           ;8997;2808430
890900608-9;ALMACENES EXITO S A           ;9005;3697250
900326221-6;APROGAN S.A.S.                ;8847;5290000
900040299-0;ATLANTIC FS S.A.S.            ;8905;6854550
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;5800;4575560
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6001;3338900
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6169;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6352;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6484;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6702;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6898;8235191
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7088;8235191
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7389;8235191
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7518;11785000
900860284-9;BBI COLOMBIA SAS              ;1436;2990000
900860284-9;BBI COLOMBIA SAS              ;1529;2990000
900860284-9;BBI COLOMBIA SAS              ;1542;3360000
900860284-9;BBI COLOMBIA SAS              ;1579;2990000
900860284-9;BBI COLOMBIA SAS              ;1622;2990000
900860284-9;BBI COLOMBIA SAS              ;1623;2990000
900860284-9;BBI COLOMBIA SAS              ;1637;2496000
900860284-9;BBI COLOMBIA SAS              ;1671;2990000
900860284-9;BBI COLOMBIA SAS              ;1672;2990000
900860284-9;BBI COLOMBIA SAS              ;1673;3267000
900860284-9;BBI COLOMBIA SAS              ;1694;1495000
900860284-9;BBI COLOMBIA SAS              ;1795;7475000
900860284-9;BBI COLOMBIA SAS              ;2657;7423000
900860284-9;BBI COLOMBIA SAS              ;2790;7475000
900860284-9;BBI COLOMBIA SAS              ;2815;7475000
900860284-9;BBI COLOMBIA SAS              ;8689;9099887
900860284-9;BBI COLOMBIA SAS              ;8690;3158037
900860284-9;BBI COLOMBIA SAS              ;8691;3158037
900860284-9;BBI COLOMBIA SAS              ;8849;3158037
900860284-9;BBI COLOMBIA SAS              ;8850;3158037
900860284-9;BBI COLOMBIA SAS              ;8851;9099887
901386179-4;BEEF MASTER MEAT COMPANY S.A.S;8974;2973500
830002366-0;BIMBO DE COLOMBIA S.A.        ;8892;3415500
830002366-0;BIMBO DE COLOMBIA S.A.        ;8893;5197500
830002366-0;BIMBO DE COLOMBIA S.A.        ;8912;2650416
900854686-1;BLANCCASTEL S.A.S             ;761;4248000
900854686-1;BLANCCASTEL S.A.S             ;806;4140000
901173739-4;CAMPO VERDE PACKING COLOMBIA S;8488;4698540
901173739-4;CAMPO VERDE PACKING COLOMBIA S;8760;1690500
901154781-3;CARPO FOODS S.A.S             ;8844;2333304
900847017-5;CITRICOS TUNEZ S.A.S.         ;8615;3795000
900847017-5;CITRICOS TUNEZ S.A.S.         ;8845;3795000
900077564-8;COMERCIALIZADORA INTERNACIONAL;797;2912880
900077564-8;COMERCIALIZADORA INTERNACIONAL;884;2070000
900077564-8;COMERCIALIZADORA INTERNACIONAL;906;2070000
900077564-8;COMERCIALIZADORA INTERNACIONAL;939;1725000
900077564-8;COMERCIALIZADORA INTERNACIONAL;967;2070000
900077564-8;COMERCIALIZADORA INTERNACIONAL;1008;842880
800242427-1;COMPAÑIA DE DISTRIBUCION Y TRA;8895;5184201
860000261-6;COMPAÑIA NACIONAL DE LEVADURAS;8730;5050455
860000261-6;COMPAÑIA NACIONAL DE LEVADURAS;8955;5050455
890904478-6;COOPERATIVA COLANTA           ;8991;2606666
800217250-1;COOPERATIVA LECHERA DE CORDOBA;8680;2530000
800217250-1;COOPERATIVA LECHERA DE CORDOBA;8884;3601000
811009358-4;CUEROS Y DISEÑOS S.A.S        ;8681;3770688
811009358-4;CUEROS Y DISEÑOS S.A.S        ;8885;3770688
900276962-1;D1 S A S                      ;8888;8102798
900276962-1;D1 S A S                      ;8890;19380000
900276962-1;D1 S A S                      ;8914;2254000
900276962-1;D1 S A S                      ;8915;2254000
900276962-1;D1 S A S                      ;8917;2254000
900276962-1;D1 S A S                      ;8923;2254000
900276962-1;D1 S A S                      ;8924;9445000
900276962-1;D1 S A S                      ;8926;2060800
900276962-1;D1 S A S                      ;8938;10046400
900276962-1;D1 S A S                      ;8940;10464200
900276962-1;D1 S A S                      ;8953;5175000
900276962-1;D1 S A S                      ;8960;2640400
900276962-1;D1 S A S                      ;8970;6762000
900276962-1;D1 S A S                      ;8971;7762500
900276962-1;D1 S A S                      ;8976;7396300
900276962-1;D1 S A S                      ;8977;7396300
900276962-1;D1 S A S                      ;8978;7396300
900276962-1;D1 S A S                      ;8979;7396300
900276962-1;D1 S A S                      ;8980;7396300
900276962-1;D1 S A S                      ;8981;7396300
900206485-9;DE LOLITA RESTO CAFE S.A.S.   ;8876;3795000
890205142-8;DISTRIBUIDORA AVICOLA S.A.S   ;8797;3450000
890205142-8;DISTRIBUIDORA AVICOLA S.A.S   ;8855;1921545
901444005-0;DISTRIBUIDORA POLLOPEZ SAS    ;8858;1169150
901444005-0;DISTRIBUIDORA POLLOPEZ SAS    ;8919;357000
901190096-9;ELMAR ALIMENTOS S.A.S         ;8141;10375000
901190096-9;ELMAR ALIMENTOS S.A.S         ;8485;8712000
901190096-9;ELMAR ALIMENTOS S.A.S         ;8882;14810400
900024261-4;EPROFRUVER COLOMBIA SAS       ;6925;1886633
900024261-4;EPROFRUVER COLOMBIA SAS       ;7092;2209150
900024261-4;EPROFRUVER COLOMBIA SAS       ;8918;2530000
901446513-1;FLEXIBILIDAD LOGISTICA S.A.S. ;8601;4117000
891408584-5;FRISBY S.A.                   ;8861;2047000
900555884-0;FRUTOS SILVESTRES S.A.S       ;8677;2333304
