8600016978-1;GAS LUZ MADRID                ;9002;4210000
860005265-8;GASEOSAS COLOMBIANAS S.A.S    ;9004;3817083
900579425-7;GREENYELLOW ENERGIA DE COLOMBI;8688;16792800
900380500-5;GRUPO ATOCHA S.A.S            ;8864;1689350
811007871-2;HELADOS FINOS SANTA CLARA S.A ;683;223000
811007871-2;HELADOS FINOS SANTA CLARA S.A ;694;921456
811007871-2;HELADOS FINOS SANTA CLARA S.A ;706;1974550
860533413-6;I R C C S.A.S INDUSTRIA DE RES;8907;2704800
901368768-6;IMPORT GLOBAL BYR S.A.S       ;3554;552000
860070995-2;INDUSTRIA COLOMBIANA DE LOGIST;8903;2532444
900014646-3;INDUSTRIAS CARNICAS DEL ORIENT;8684;4573535
900014646-3;INDUSTRIAS CARNICAS DEL ORIENT;8867;5216700
890900281-4;INDUSTRIAS HACEB S.A.         ;8969;11659829
800011651-4;INGENIERIA Y CONTRATOS S.A.S  ;8709;2339100
800011651-4;INGENIERIA Y CONTRATOS S.A.S  ;8878;2339100
901053850-1;INVERSIONES HIELO SAS         ;8853;6692804
900565241-8;INVERSIONES PASTO VERDE S.A.S.;1381;5416000
900565241-8;INVERSIONES PASTO VERDE S.A.S.;1476;1872000
900565241-8;INVERSIONES PASTO VERDE S.A.S.;1516;2400000
830070021-5;INVERSIONES PENIEL S A S      ;8989;3133500
830070021-5;INVERSIONES PENIEL S A S      ;8990;4636800
901350431-0;INVERSIONES VALLES VERDES S.A.;7910;3213000
901350431-0;INVERSIONES VALLES VERDES S.A.;8003;8553500
901350431-0;INVERSIONES VALLES VERDES S.A.;8098;2127500
901350431-0;INVERSIONES VALLES VERDES S.A.;8298;2127500
901350431-0;INVERSIONES VALLES VERDES S.A.;8427;1606500
15921169-2;JUAN FERNANDO LARA MONTOYA    ;8587;589500
800245795-0;LACTALIS COLOMBIA LTDA        ;8711;5152000
800245795-0;LACTALIS COLOMBIA LTDA        ;8735;2576000
800245795-0;LACTALIS COLOMBIA LTDA        ;8941;5152000
800245795-0;LACTALIS COLOMBIA LTDA        ;8942;4127700
811037075-4;LACTEOS BETANIA S.A.          ;8891;5916494
900376978-6;LOGIMPEX CARGO SAS            ;8599;234810
900059238-5;MAKRO SUPERMAYORISTA S A S    ;8598;49944500
900059238-5;MAKRO SUPERMAYORISTA S A S    ;8777;57662187
900059238-5;MAKRO SUPERMAYORISTA S A S    ;8901;8613300
900059238-5;MAKRO SUPERMAYORISTA S A S    ;8936;41216000
811038831-0;MANTEL DE CUADROS S.A.S       ;8874;2127500
806004895-7;OPERADORA PORTUARIA DEL CARIBE;8748;4098983
806004895-7;OPERADORA PORTUARIA DEL CARIBE;8749;4320550
806004895-7;OPERADORA PORTUARIA DEL CARIBE;8750;5206817
806004895-7;OPERADORA PORTUARIA DEL CARIBE;8751;5871517
