   900616005-6;ADVANCE LOGISTIC TRANSPORT S.A;42025;6237000
   901380930-2;AIR- E S.A.S. E.S.P.          ;41239;32670000
   901380930-2;AIR- E S.A.S. E.S.P.          ;41758;32670000
   901380930-2;AIR- E S.A.S. E.S.P.          ;41778;10531620
   901380930-2;AIR- E S.A.S. E.S.P.          ;41779;8163292
   901113010-8;AJTEX S.A.S.                  ;41993;1485000
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41687;10631560
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41845;1091079
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41887;1016928
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41890;508464
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41936;83099770
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41938;38433522
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41989;67491811
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41992;76856354
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41995;508464
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;41996;2033856
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;42011;57622451
   800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;42024;19212670
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41098;26530156
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41133;5025482
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41162;60792613
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41167;712800
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41171;1188000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41173;2015541
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41174;2860110
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41175;4704480
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41176;77068208
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41188;3746160
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41268;1742400
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41284;1685376
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41329;13449150
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41352;4039201
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41355;6182847
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41362;119312357
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41363;95565232
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41364;1771000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41440;118459953
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41443;2859120
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41465;1732500
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41466;1039500
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41468;6451419
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41492;97994385
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41521;1980000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41531;343530
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41547;29114118
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41569;20743470
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41603;9008891
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41657;130162327
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41664;17082451
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41665;228181924
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41709;1980000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41710;1742400
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41716;9259470
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41728;183705056
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41747;1692964
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41821;5856840
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41822;3980000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41867;127600469
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41906;76968956
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41908;9643788
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41909;950400
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41910;1188000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41913;2860110
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41914;2633400
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41916;635024
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41917;1430055
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41923;4952376
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41924;5082660
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41926;4493624
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41927;13397670
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41929;4131286
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41957;137100724
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41963;1980000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41965;1675080
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41975;106996854
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41976;3267000
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;41997;352440
   890914526-4;ALMACENES FLAMINGO S A        ;15839;1730393
   890914526-4;ALMACENES FLAMINGO S A        ;32293;1236655
   890914526-4;ALMACENES FLAMINGO S A        ;33073;5000361
   890914526-4;ALMACENES FLAMINGO S A        ;33150;1238539
   890914526-4;ALMACENES FLAMINGO S A        ;33189;4500122
   890914526-4;ALMACENES FLAMINGO S A        ;33190;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33191;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33192;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33193;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33194;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33195;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33196;1366325
   890914526-4;ALMACENES FLAMINGO S A        ;33197;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33198;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33199;264442
   890914526-4;ALMACENES FLAMINGO S A        ;33200;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33268;2534927
   890914526-4;ALMACENES FLAMINGO S A        ;33275;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33276;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33278;1205636
   890914526-4;ALMACENES FLAMINGO S A        ;33279;1205636
   890914526-4;ALMACENES FLAMINGO S A        ;33280;1366325
   890914526-4;ALMACENES FLAMINGO S A        ;33281;1607514
   890914526-4;ALMACENES FLAMINGO S A        ;33282;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33283;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33284;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33285;37777
   890914526-4;ALMACENES FLAMINGO S A        ;33462;2639421
   890914526-4;ALMACENES FLAMINGO S A        ;33463;1205636
   890914526-4;ALMACENES FLAMINGO S A        ;33464;1205636
   890914526-4;ALMACENES FLAMINGO S A        ;33465;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33466;803757
   890914526-4;ALMACENES FLAMINGO S A        ;33467;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33468;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33469;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33470;1366325
   890914526-4;ALMACENES FLAMINGO S A        ;33471;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33472;401879
   890914526-4;ALMACENES FLAMINGO S A        ;33473;75555
   890914526-4;ALMACENES FLAMINGO S A        ;33600;2689495
   890914526-4;ALMACENES FLAMINGO S A        ;33601;401879
