900218342-6;AGENCIA DE SERVICIOS LOGISTICO;10333;3099209
890103400-5;ALIMENTOS CONCENTRADOS DEL CAR;10139;2535543
890103400-5;ALIMENTOS CONCENTRADOS DEL CAR;10280;2535543
901038875-0;ALIMENTOS DL S.A.S            ;10243;2412902
900212775-4;ALIMENTOS LA ISABELA S.A.S    ;10231;5490792
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;10237;1649826
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;10321;48202579
890900608-9;ALMACENES EXITO S A           ;8997;2808430
890900608-9;ALMACENES EXITO S A           ;9308;2414158
890900608-9;ALMACENES EXITO S A           ;9327;6955387
890900608-9;ALMACENES EXITO S A           ;10155;2414158
890900608-9;ALMACENES EXITO S A           ;10156;965160
890900608-9;ALMACENES EXITO S A           ;10157;8391623
890900608-9;ALMACENES EXITO S A           ;10176;5087010
890900608-9;ALMACENES EXITO S A           ;10287;2414158
890900608-9;ALMACENES EXITO S A           ;10291;8391623
890900608-9;ALMACENES EXITO S A           ;10308;7832802
890900608-9;ALMACENES EXITO S A           ;10331;965160
155699648-5;AMAZING LOGISTICS S.A.        ;10329;47807497
155699648-5;AMAZING LOGISTICS S.A.        ;10330;24990671
900326221-6;APROGAN S.A.S.                ;10241;5780912
830053360-5;ARDIKO A&S SUMINISTROS Y SERVI;9435;6828068
830053360-5;ARDIKO A&S SUMINISTROS Y SERVI;9594;4163943
830053360-5;ARDIKO A&S SUMINISTROS Y SERVI;9793;3216000
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;5800;4575560
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6001;3338900
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6169;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6352;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6484;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6702;7287780
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6898;8235191
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7088;8235191
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7389;8235191
900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7518;11785000
900860284-9;BBI COLOMBIA SAS              ;1436;2990000
900860284-9;BBI COLOMBIA SAS              ;1529;2990000
900860284-9;BBI COLOMBIA SAS              ;1542;3360000
900860284-9;BBI COLOMBIA SAS              ;1579;2990000
900860284-9;BBI COLOMBIA SAS              ;1622;2990000
