900218342-6,AGENCIA DE SERVICIOS LOGISTICO,10566,2563709
901276956-9,ALIMENTOS ADH SAS             ,10536,11730000
890103400-5,ALIMENTOS CONCENTRADOS DEL CAR,10139,2535543
890103400-5,ALIMENTOS CONCENTRADOS DEL CAR,10280,2535543
890103400-5,ALIMENTOS CONCENTRADOS DEL CAR,10427,2535543
890103400-5,ALIMENTOS CONCENTRADOS DEL CAR,10591,2535543
901038875-0,ALIMENTOS DL S.A.S            ,10547,2412902
900212775-4,ALIMENTOS LA ISABELA S.A.S    ,10548,5490792
830006735-3,ALIMENTOS POLAR COLOMBIA SAS  ,10469,47790122
830006735-3,ALIMENTOS POLAR COLOMBIA SAS  ,10540,1920289
830006735-3,ALIMENTOS POLAR COLOMBIA SAS  ,10649,47962543
890900608-9,ALMACENES EXITO S A           ,10287,2414158
890900608-9,ALMACENES EXITO S A           ,10291,8391623
890900608-9,ALMACENES EXITO S A           ,10308,7832802
890900608-9,ALMACENES EXITO S A           ,10415,2414158
890900608-9,ALMACENES EXITO S A           ,10460,965160
890900608-9,ALMACENES EXITO S A           ,10496,6371287
890900608-9,ALMACENES EXITO S A           ,10544,8391623
890900608-9,ALMACENES EXITO S A           ,10637,965160
890900608-9,ALMACENES EXITO S A           ,10640,2414158
890900608-9,ALMACENES EXITO S A           ,10641,584100
890900608-9,ALMACENES EXITO S A           ,10643,2414158
890900608-9,ALMACENES EXITO S A           ,10647,8391623
155699648-5,AMAZING LOGISTICS S.A.        ,10452,18135604
811019880-0,ANTIOQUE?A DE PORCINOS        ,10462,4300500
811019880-0,ANTIOQUE?A DE PORCINOS        ,10626,4945000
900326221-6,APROGAN S.A.S.                ,10559,5780912
830053360-5,ARDIKO A&S SUMINISTROS Y SERVI,9435,6828068
830053360-5,ARDIKO A&S SUMINISTROS Y SERVI,9594,4163943
830053360-5,ARDIKO A&S SUMINISTROS Y SERVI,9793,3216000
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,5800,4575560
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,6001,3338900
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,6169,7287780
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,6352,7287780
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,6484,7287780
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,6702,7287780
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,6898,8235191
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,7088,8235191
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,7389,8235191
900503517-1,BARBOSA MANTILLA ACEVEDO CONSU,7518,11785000
900860284-9,BBI COLOMBIA SAS              ,1436,2990000
900860284-9,BBI COLOMBIA SAS              ,1529,2990000
900860284-9,BBI COLOMBIA SAS              ,1542,3360000
900860284-9,BBI COLOMBIA SAS              ,1579,2990000
