   900580913-1;A DVE INGENIERIA S.A.S        ;9658;9321600
   900218342-6;AGENCIA DE SERVICIOS LOGISTICO;9602;2563709
   890103400-5;ALIMENTOS CONCENTRADOS DEL CAR;9024;2320226
   890103400-5;ALIMENTOS CONCENTRADOS DEL CAR;9484;2535543
   890103400-5;ALIMENTOS CONCENTRADOS DEL CAR;9647;2535543
   900212775-4;ALIMENTOS LA ISABELA S.A.S    ;9563;5490792
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;9515;48402045
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;9630;1973876
   830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;9676;47401332
   890900608-9;ALMACENES EXITO S A           ;8791;7339500
   890900608-9;ALMACENES EXITO S A           ;8997;2808430
   890900608-9;ALMACENES EXITO S A           ;9308;2414158
   890900608-9;ALMACENES EXITO S A           ;9327;6955387
   890900608-9;ALMACENES EXITO S A           ;9506;965160
   890900608-9;ALMACENES EXITO S A           ;9509;8391623
   890900608-9;ALMACENES EXITO S A           ;9601;6371287
   890900608-9;ALMACENES EXITO S A           ;9657;2414158
   890900608-9;ALMACENES EXITO S A           ;9698;965160
   890900608-9;ALMACENES EXITO S A           ;9703;8391623
   900326221-6;APROGAN S.A.S.                ;9258;5780912
   900326221-6;APROGAN S.A.S.                ;9433;5780912
   900326221-6;APROGAN S.A.S.                ;9587;5780912
   830053360-5;ARDIKO A&S SUMINISTROS Y SERVI;9435;6828068
   830053360-5;ARDIKO A&S SUMINISTROS Y SERVI;9594;8327700
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;5800;4575560
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6001;3338900
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6169;7287780
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6352;7287780
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6484;7287780
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6702;7287780
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;6898;8235191
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7088;8235191
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7389;8235191
   900503517-1;BARBOSA MANTILLA ACEVEDO CONSU;7518;11785000
   900860284-9;BBI COLOMBIA SAS              ;1436;2990000
   900860284-9;BBI COLOMBIA SAS              ;1529;2990000
   900860284-9;BBI COLOMBIA SAS              ;1542;3360000
   900860284-9;BBI COLOMBIA SAS              ;1579;2990000
   900860284-9;BBI COLOMBIA SAS              ;1622;2990000
   900860284-9;BBI COLOMBIA SAS              ;1623;2990000
   900860284-9;BBI COLOMBIA SAS              ;1637;2496000
   900860284-9;BBI COLOMBIA SAS              ;1671;2990000
   900860284-9;BBI COLOMBIA SAS              ;1672;2990000
   900860284-9;BBI COLOMBIA SAS              ;1673;3267000
   900860284-9;BBI COLOMBIA SAS              ;1694;1495000
   900860284-9;BBI COLOMBIA SAS              ;1795;7475000
   900860284-9;BBI COLOMBIA SAS              ;2657;7423000
   900860284-9;BBI COLOMBIA SAS              ;2790;7475000
   900860284-9;BBI COLOMBIA SAS              ;2815;7475000
   900860284-9;BBI COLOMBIA SAS              ;9425;11040000
   900860284-9;BBI COLOMBIA SAS              ;9575;11040000
   901386179-4;BEEF MASTER MEAT COMPANY S.A.S;9518;5205200
   901386179-4;BEEF MASTER MEAT COMPANY S.A.S;9595;8008000
   901386179-4;BEEF MASTER MEAT COMPANY S.A.S;9662;3966330
   830002366-0;BIMBO DE COLOMBIA S.A.        ;9631;2650416
   900854686-1;BLANCCASTEL S.A.S             ;761;4248000
   900854686-1;BLANCCASTEL S.A.S             ;806;4140000
   901173739-4;CAMPO VERDE PACKING COLOMBIA S;8488;1198540
   901173739-4;CAMPO VERDE PACKING COLOMBIA S;8760;1690500
   901154781-3;CARPO FOODS S.A.S             ;9539;5313834
   900083863-1;CENTRAL LECHERA DE MANIZALES S;9514;9246151
   900083863-1;CENTRAL LECHERA DE MANIZALES S;9668;7791173
   900083863-1;CENTRAL LECHERA DE MANIZALES S;9669;2192640
   900900469-7;CENTRO DE FORMACION DE ACTORES;9565;4754835
   900847017-5;CITRICOS TUNEZ S.A.S.         ;9538;4147176
