890900115-1;A LAUMAYER Y COMPAÑIA EXPORTAD;43163;4072860,00
901380930-2;AIR- E S.A.S. E.S.P.          ;42384;32670000,00
901380930-2;AIR- E S.A.S. E.S.P.          ;42403;15651158,00
901380930-2;AIR- E S.A.S. E.S.P.          ;43073;9568350,00
901380930-2;AIR- E S.A.S. E.S.P.          ;43074;32670000,00
901113010-8;AJTEX S.A.S.                  ;43285;1485000,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43317;6217754,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43323;40951801,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43324;6232248,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43334;91123820,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43336;15941006,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43414;6293846,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43415;10760112,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43432;81486973,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43435;25648511,00
800149149-1;ALIMENTOS BALANCEADOS TEQUENDA;43436;5545152,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42229;474880,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42435;4189680,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42463;3045685,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42516;31375593,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42517;672210,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42519;5684256,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42531;117986149,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42536;157881366,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42538;445500,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42606;1742400,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42607;1742400,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42626;101604284,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42670;4554329,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42699;1430055,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42700;1316700,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42701;475200,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42702;396000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42711;81121602,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42733;46095844,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42738;99697802,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42777;5297131,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42811;7097296,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42812;7707150,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42851;1980000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42865;2336399,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42867;1039500,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42869;3131401,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42913;295546667,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42959;2079000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42968;57677976,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42970;1138500,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42978;1980000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42987;16748630,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42988;10172933,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;42992;3477461,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43048;1558260,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43063;4027575,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43083;98242127,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43132;2079000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43147;1039500,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43148;6006586,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43158;7784910,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43161;73687099,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43188;1039500,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43213;116330863,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43258;1742400,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43259;693000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43283;792000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43284;950400,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43287;2633400,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43290;3445596,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43292;2079000,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43313;6414210,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43314;113488913,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43316;2529936,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43329;1742400,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43335;300960,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43360;258390,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43361;43136072,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43386;5723190,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43393;2896740,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43411;31081882,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43412;20651812,00
830006735-3;ALIMENTOS POLAR COLOMBIA SAS  ;43417;5787857,00
890914526-4;ALMACENES FLAMINGO S A        ;15839;1730393,00
890914526-4;ALMACENES FLAMINGO S A        ;32293;486655,00
890914526-4;ALMACENES FLAMINGO S A        ;33073;3305561,00
890914526-4;ALMACENES FLAMINGO S A        ;33150;1238539,00
890914526-4;ALMACENES FLAMINGO S A        ;33189;4500122,00
890914526-4;ALMACENES FLAMINGO S A        ;33190;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33191;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33192;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33193;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33194;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33195;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33196;1366325,00
890914526-4;ALMACENES FLAMINGO S A        ;33197;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33198;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33199;264442,00
890914526-4;ALMACENES FLAMINGO S A        ;33200;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33268;2534927,00
890914526-4;ALMACENES FLAMINGO S A        ;33275;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33276;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33278;1205636,00
890914526-4;ALMACENES FLAMINGO S A        ;33279;1205636,00
890914526-4;ALMACENES FLAMINGO S A        ;33280;1366325,00
890914526-4;ALMACENES FLAMINGO S A        ;33281;1607514,00
890914526-4;ALMACENES FLAMINGO S A        ;33282;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33283;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33284;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33285;37777,00
890914526-4;ALMACENES FLAMINGO S A        ;33462;2639421,00
890914526-4;ALMACENES FLAMINGO S A        ;33463;1205636,00
890914526-4;ALMACENES FLAMINGO S A        ;33464;1205636,00
890914526-4;ALMACENES FLAMINGO S A        ;33465;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33466;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33467;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33468;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33469;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33470;1366325,00
890914526-4;ALMACENES FLAMINGO S A        ;33471;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33472;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33473;75555,00
890914526-4;ALMACENES FLAMINGO S A        ;33600;2689495,00
890914526-4;ALMACENES FLAMINGO S A        ;33601;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33602;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33603;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33604;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33873;3480212,00
890914526-4;ALMACENES FLAMINGO S A        ;33874;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33876;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33877;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33878;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33879;1366325,00
890914526-4;ALMACENES FLAMINGO S A        ;33880;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33881;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33882;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33883;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33884;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33885;151110,00
890914526-4;ALMACENES FLAMINGO S A        ;33988;2231667,00
890914526-4;ALMACENES FLAMINGO S A        ;33989;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33990;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33991;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33992;803757,00
890914526-4;ALMACENES FLAMINGO S A        ;33993;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33994;401879,00
890914526-4;ALMACENES FLAMINGO S A        ;33995;401879,00
